Departamento,Provincia,Municipio,Ciudad / Comunidad,Total Asistencia Escolar,"Si, auna pública","Si, a una privada","Si, a una de convenio",No asiste,Sin especificar,Total Idioma Aprendido,Castellano,Quechua,Aymara,Guaraní,Otros Idiomas Oficiales,Otros Idiomas,Idioma extranjero,Sin especificar,No habla
La Paz,Murillo,Mecapaca,TUMUSA,29,28,1,0,0,0,121,11,1,103,0,0,0,0,4,2
La Paz,Murillo,Mecapaca,WILACOTA,91,76,3,5,6,1,286,45,1,223,0,0,0,0,2,15
La Paz,Murillo,Mecapaca,CORAPATA,55,48,0,0,7,0,182,9,0,168,0,0,0,0,1,4
La Paz,Murillo,Mecapaca,CACHIRA,57,51,2,1,3,0,159,31,0,125,0,0,0,0,0,3
La Paz,Murillo,Mecapaca,HUARANCA,48,40,0,1,7,0,156,10,1,138,0,0,0,0,2,5
La Paz,Murillo,Mecapaca,COCHIRI,53,39,2,2,10,0,141,10,1,121,0,0,0,0,1,8
La Paz,Murillo,Mecapaca,CALLUMARA,61,58,0,0,2,1,177,11,0,157,0,0,0,0,1,8
La Paz,Murillo,Mecapaca,JANKO SUNI,109,94,0,2,12,1,417,53,0,349,0,0,0,0,7,8
La Paz,Murillo,Mecapaca,CENTRO BELEN,19,15,0,0,4,0,61,4,0,55,0,0,0,0,1,1
La Paz,Murillo,Mecapaca,VILLA EL CARMEN,5,3,0,0,2,0,30,0,0,28,0,0,0,0,2,0
La Paz,Murillo,Achocalla,ACHOCALLA,5536,4266,401,259,552,58,18722,11577,298,5874,2,39,0,55,296,581
La Paz,Murillo,Achocalla,AYMA,53,46,0,1,5,1,193,54,0,136,0,0,0,0,1,2
La Paz,Murillo,Achocalla,POCOLLITA,38,31,1,2,3,1,162,34,0,119,0,0,0,0,2,7
La Paz,Murillo,Achocalla,UYPACA,144,125,6,3,10,0,537,169,2,354,0,1,0,1,2,8
La Paz,Murillo,Achocalla,VILLA CONCEPCION,36,26,8,0,2,0,114,40,1,63,0,0,0,0,8,2
La Paz,Murillo,Achocalla,ANTAQUE,9,8,0,0,1,0,33,5,0,27,0,0,0,0,0,1
La Paz,Murillo,Achocalla,ASUNTA QUILLVIRI,86,73,4,2,5,2,412,100,0,298,0,0,0,0,8,6
La Paz,Murillo,Achocalla,KAJCHIRI,61,52,0,2,7,0,278,59,0,211,0,0,0,0,4,4
La Paz,Murillo,Achocalla,KELLA KELLA,68,59,1,0,7,1,248,83,0,157,0,0,0,0,1,7
La Paz,Murillo,Achocalla,SAN PEDRO DE QUILLVIRI,86,73,6,0,6,1,277,37,0,221,0,0,0,0,5,14
La Paz,Murillo,Achocalla,SAYTHU,74,64,0,0,9,1,241,16,0,222,0,0,0,0,1,2
La Paz,Murillo,Achocalla,TAUCACHI,78,57,5,4,12,0,259,21,0,233,0,0,0,0,0,5
La Paz,Murillo,Achocalla,TUNI,144,129,2,4,7,2,517,249,7,232,0,0,0,0,9,20
La Paz,Murillo,Achocalla,VILLA LA YURI,69,59,0,0,9,1,186,61,2,114,0,0,0,0,0,9
La Paz,Murillo,El Alto,EL ALTO,258890,192644,26432,15821,22235,1758,846880,586063,10645,199485,357,1159,0,788,14360,34023
