Departamento,Provincia,Municipio,Ciudad / Comunidad,Total,Cañería de red,Pileta pública,Carro repartidor (aguatero),Pozo o noria con bomba,Pozo o noria sin bomba,"Lluvia, río, vertiente, acequia","Lago, laguna, curichi",Total,Al alcantarillado,A una cámara séptica,A un pozo ciego,A la calle,"A la quebrada, río","A un lago, laguna, curichi",Total,Red de empresa eléctrica (servicio público),Motor propio,Panel solar,Otra,No tiene
Chuquisaca,Oropeza,Sucre,TINI,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,26
Chuquisaca,Oropeza,Sucre,KORI PUNKU,31,23,0,0,0,1,5,2,7,0,2,5,0,0,0,31,6,1,0,0,24
Chuquisaca,Oropeza,Sucre,PAMPAS AGUILAR CKASA,22,0,7,0,0,0,15,0,0,0,0,0,0,0,0,22,0,0,1,0,21
Chuquisaca,Oropeza,Sucre,ANGOSTURA,13,1,0,0,0,0,12,0,1,0,0,1,0,0,0,13,10,0,0,0,3
Chuquisaca,Oropeza,Sucre,CHAQUITO QUIÑAL,25,0,0,0,1,0,24,0,4,0,0,4,0,0,0,25,19,0,0,0,6
Chuquisaca,Oropeza,Sucre,MOJON PAMPA,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,2,0,0,0,29
Chuquisaca,Oropeza,Sucre,LUJE,7,4,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Chuquisaca,Oropeza,Sucre,MOSOJ LLAJTA,36,15,0,0,4,0,17,0,18,0,2,16,0,0,0,36,21,1,0,0,14
Chuquisaca,Oropeza,Sucre,MONTEROYOC,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,1,0,0,0,8
Chuquisaca,Oropeza,Sucre,POCONCHI,22,4,5,0,0,5,8,0,0,0,0,0,0,0,0,22,0,0,0,0,22
Chuquisaca,Oropeza,Sucre,CHALLA,25,9,6,0,0,0,1,9,0,0,0,0,0,0,0,25,4,0,0,0,21
Chuquisaca,Oropeza,Sucre,TAMBO,15,13,0,0,0,0,2,0,6,0,0,6,0,0,0,15,15,0,0,0,0
Chuquisaca,Oropeza,Sucre,CHACARILLA MOSOJLLAJTA,32,29,1,0,2,0,0,0,19,0,2,17,0,0,0,32,31,0,0,1,0
Chuquisaca,Oropeza,Sucre,MONCHARI,33,5,7,0,0,0,1,20,0,0,0,0,0,0,0,33,0,0,0,0,33
Chuquisaca,Oropeza,Sucre,MEDIA LUNA,16,16,0,0,0,0,0,0,10,0,1,9,0,0,0,16,15,0,0,0,1
Chuquisaca,Oropeza,Sucre,MOJOTORO,80,54,1,0,19,2,4,0,57,23,7,27,0,0,0,80,75,0,0,0,5
Chuquisaca,Oropeza,Sucre,CHACARILLA,39,27,0,0,9,1,2,0,24,7,4,13,0,0,0,39,36,0,0,0,3
Chuquisaca,Oropeza,Sucre,CHUQUI CHUQUI,157,122,29,0,1,1,4,0,51,0,7,43,0,1,0,157,134,0,0,1,22
Chuquisaca,Oropeza,Sucre,IMILLA HUAÑUSCA,42,0,0,0,21,1,20,0,24,0,0,23,0,1,0,42,28,0,0,0,14
Chuquisaca,Oropeza,Sucre,KOLLPANA,18,9,0,0,0,0,9,0,0,0,0,0,0,0,0,18,1,0,0,0,17
Chuquisaca,Oropeza,Sucre,MOJTULO,67,41,19,0,0,0,7,0,26,0,2,23,1,0,0,67,49,0,0,0,18
Chuquisaca,Oropeza,Sucre,NARANJOS,55,16,21,0,2,4,12,0,4,0,0,4,0,0,0,55,18,0,0,0,37
Chuquisaca,Oropeza,Sucre,QUIQUIJANA,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,7,0,0,0,10
Chuquisaca,Oropeza,Sucre,TAPIAL,43,5,0,0,0,2,36,0,10,2,1,6,1,0,0,43,36,0,0,2,5
Chuquisaca,Oropeza,Sucre,SAUSAL,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,20,0,0,0,1
Chuquisaca,Oropeza,Sucre,CARAPARI,26,0,0,0,2,5,19,0,8,0,0,7,0,1,0,26,23,0,0,0,3
Chuquisaca,Oropeza,Sucre,SURIMA CULATA,57,30,25,0,0,0,2,0,13,1,0,12,0,0,0,57,40,0,0,0,17
Chuquisaca,Oropeza,Sucre,CAMOS,46,7,0,0,1,6,32,0,4,0,0,4,0,0,0,46,23,0,1,0,22
Chuquisaca,Oropeza,Sucre,CANTU MOLINO,31,3,4,0,0,6,18,0,0,0,0,0,0,0,0,31,5,0,0,1,25
Chuquisaca,Oropeza,Sucre,GUADALUPE,37,5,0,0,0,7,25,0,5,1,1,3,0,0,0,37,17,0,0,0,20
Chuquisaca,Oropeza,Sucre,HORNOS,19,0,0,0,0,13,6,0,0,0,0,0,0,0,0,19,0,0,0,1,18
Chuquisaca,Oropeza,Sucre,KAJCHI PATA,20,0,0,0,0,12,8,0,0,0,0,0,0,0,0,20,2,3,0,0,15
Chuquisaca,Oropeza,Sucre,ORURILLO,18,0,0,0,0,1,2,15,0,0,0,0,0,0,0,18,0,0,0,0,18
Chuquisaca,Oropeza,Sucre,SIVISTO,44,1,1,0,0,0,37,5,1,0,0,1,0,0,0,44,18,0,0,0,26
Chuquisaca,Oropeza,Sucre,HUANIFAYA,17,0,3,0,0,1,13,0,0,0,0,0,0,0,0,17,6,0,0,0,11
Chuquisaca,Oropeza,Sucre,VIÑA PAMPA,23,1,1,0,0,0,21,0,0,0,0,0,0,0,0,23,0,0,1,0,22
Chuquisaca,Oropeza,Sucre,CORSO MAYU,11,1,0,0,0,0,0,10,1,0,0,0,0,1,0,11,1,0,0,1,9
Chuquisaca,Oropeza,Sucre,GUAYABITAYUC,15,3,1,0,0,1,8,2,1,1,0,0,0,0,0,15,4,0,0,0,11
Chuquisaca,Oropeza,Sucre,CHALLA SUCURANI,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,19
Chuquisaca,Oropeza,Sucre,ARABATE,49,6,5,0,0,3,12,23,2,0,0,2,0,0,0,49,0,0,0,0,49
Chuquisaca,Oropeza,Sucre,PUCA PUCA SANTIAGO,28,6,0,0,0,3,19,0,0,0,0,0,0,0,0,28,4,0,0,0,24
Chuquisaca,Oropeza,Sucre,CHAUPI KHATALLA,36,0,0,0,0,3,33,0,0,0,0,0,0,0,0,36,1,0,0,0,35
Chuquisaca,Oropeza,Sucre,SANTA ROSALIA,32,1,0,0,0,0,31,0,0,0,0,0,0,0,0,32,0,0,0,0,32
Chuquisaca,Oropeza,Sucre,SOJTA PATA,46,2,0,0,0,0,44,0,0,0,0,0,0,0,0,46,0,1,1,0,44
Chuquisaca,Oropeza,Sucre,WANCA PAMPA,19,0,0,0,0,13,6,0,0,0,0,0,0,0,0,19,0,0,0,1,18
Chuquisaca,Oropeza,Sucre,FALAFAYA,22,0,0,0,0,1,21,0,0,0,0,0,0,0,0,22,3,0,0,13,6
Chuquisaca,Oropeza,Sucre,SOJTA MAYU,12,1,0,0,0,1,10,0,0,0,0,0,0,0,0,12,0,0,0,0,12
Chuquisaca,Oropeza,Sucre,SAN CRISTOBAL,15,0,0,1,0,2,12,0,1,0,0,1,0,0,0,15,1,0,0,7,7
Chuquisaca,Oropeza,Sucre,KHOLLPA GRANDE,21,0,0,0,0,0,20,1,0,0,0,0,0,0,0,21,0,0,0,1,20
Chuquisaca,Oropeza,Sucre,LLIMPHI,12,0,1,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,12
Chuquisaca,Oropeza,Sucre,PAMPA GRANDE,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,12,0,0,0,7
Chuquisaca,Oropeza,Sucre,SONKHO CHIPA,97,4,2,4,45,3,39,0,5,1,0,0,0,4,0,97,34,2,0,4,57
Chuquisaca,Oropeza,Sucre,SUNCHU TAMBO,32,0,1,1,0,0,30,0,1,1,0,0,0,0,0,32,12,0,0,0,20
Chuquisaca,Oropeza,Sucre,ZAPATERA,43,0,0,22,0,2,18,1,3,0,0,1,0,2,0,43,25,0,0,1,17
Chuquisaca,Oropeza,Sucre,TOKIO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Chuquisaca,Oropeza,Sucre,JUCHUY LLINFI,51,5,6,1,2,27,9,1,5,0,3,2,0,0,0,51,33,0,5,1,12
Chuquisaca,Oropeza,Sucre,TAMBO KASA,20,1,0,0,0,1,18,0,0,0,0,0,0,0,0,20,0,1,0,3,16
Chuquisaca,Oropeza,Sucre,ALDANA,43,0,0,0,0,0,40,3,9,0,8,1,0,0,0,43,0,1,0,0,42
Chuquisaca,Oropeza,Sucre,ESMERALDA,27,0,0,0,0,5,18,4,0,0,0,0,0,0,0,27,3,0,0,0,24
Chuquisaca,Oropeza,Sucre,HUATA,26,0,1,0,0,4,21,0,2,2,0,0,0,0,0,26,5,0,0,0,21
Chuquisaca,Oropeza,Sucre,ALTO KORA KORA,46,2,1,1,31,6,5,0,16,0,2,10,0,4,0,46,42,0,0,0,4
Chuquisaca,Oropeza,Sucre,KHOCHIS,48,36,3,0,0,4,5,0,3,1,0,2,0,0,0,48,38,0,0,0,10
Chuquisaca,Oropeza,Sucre,MOLLE K`ASA,19,0,0,0,0,6,13,0,0,0,0,0,0,0,0,19,0,0,0,1,18
Chuquisaca,Oropeza,Sucre,THAKOS,45,5,5,6,11,6,12,0,25,1,2,22,0,0,0,45,30,0,0,0,15
Chuquisaca,Oropeza,Sucre,AZARI BAJA,79,0,8,21,16,5,29,0,3,0,0,2,0,1,0,79,20,0,0,10,49
Chuquisaca,Oropeza,Sucre,LECHUGUILLAS,52,0,0,10,2,1,35,4,3,1,0,2,0,0,0,52,7,0,0,0,45
Chuquisaca,Oropeza,Sucre,MOLLE MAYU,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Chuquisaca,Oropeza,Sucre,QARA HUASI,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,15
Chuquisaca,Oropeza,Sucre,DURAZNILLO,55,0,0,0,0,2,49,4,3,0,0,1,0,2,0,55,3,0,0,0,52
Chuquisaca,Oropeza,Sucre,ESPERANZA,56,12,2,5,0,16,21,0,31,0,7,19,5,0,0,56,0,0,0,0,56
Chuquisaca,Oropeza,Sucre,CHAUPI LLIMFI VILLA MARIA,11,0,0,0,0,1,10,0,0,0,0,0,0,0,0,11,0,0,0,0,11
Chuquisaca,Oropeza,Sucre,SAN JUAN  DE CACHIMAYO,45,0,0,0,0,0,42,3,0,0,0,0,0,0,0,45,0,0,0,0,45
Chuquisaca,Oropeza,Sucre,PUNILLA,13,7,0,0,0,0,6,0,1,0,1,0,0,0,0,13,2,0,2,1,8
Chuquisaca,Oropeza,Yotala,ACEITUNO,12,0,0,0,0,1,10,1,1,0,0,1,0,0,0,12,0,0,1,1,10
Chuquisaca,Oropeza,Yotala,CANTO ÑUJCHU,72,2,2,0,19,16,33,0,57,1,18,38,0,0,0,72,67,0,0,0,5
Chuquisaca,Oropeza,Yotala,CABEZAS,70,11,1,3,42,4,9,0,49,5,1,31,0,12,0,70,64,0,0,0,6
Chuquisaca,Oropeza,Yotala,CAMPANARIO,61,30,1,0,1,0,29,0,36,1,2,33,0,0,0,61,58,0,0,0,3
Chuquisaca,Oropeza,Yotala,JATUN ERA,22,4,2,1,2,2,11,0,6,0,1,5,0,0,0,22,4,0,0,0,18
Chuquisaca,Oropeza,Yotala,PATA CACHIMAYU,27,22,0,0,1,2,2,0,26,1,0,25,0,0,0,27,26,0,0,0,1
Chuquisaca,Oropeza,Yotala,SIGUAYO,48,41,0,0,2,0,5,0,24,21,2,1,0,0,0,48,36,0,0,0,12
Chuquisaca,Oropeza,Yotala,URA CACHIMAYU,25,20,0,0,1,1,1,2,2,1,0,1,0,0,0,25,20,0,0,2,3
Chuquisaca,Oropeza,Yotala,UÑALA,49,20,4,0,0,0,25,0,6,0,0,6,0,0,0,49,38,0,0,0,11
Chuquisaca,Oropeza,Yotala,VILLA ROSARIO,27,8,0,1,0,1,17,0,20,0,0,20,0,0,0,27,26,0,0,0,1
Chuquisaca,Oropeza,Yotala,YOTALILLA,85,75,4,1,0,0,5,0,79,0,2,77,0,0,0,85,75,0,0,0,10
Chuquisaca,Oropeza,Yotala,CORTIJO,54,18,3,1,27,1,4,0,38,16,10,11,0,1,0,54,44,0,0,0,10
Chuquisaca,Oropeza,Yotala,MOLLE MOLLE,55,19,0,0,20,3,13,0,34,15,0,18,0,1,0,55,40,0,1,0,14
Chuquisaca,Oropeza,Yotala,MOSOJ LLAJTA,141,71,14,0,53,1,2,0,108,69,9,30,0,0,0,141,131,2,0,0,8
Chuquisaca,Oropeza,Yotala,PERAS PAMPA,22,6,0,0,0,0,16,0,18,0,2,16,0,0,0,22,6,0,0,0,16
Chuquisaca,Oropeza,Yotala,SALANCACHI,48,9,1,0,21,4,13,0,7,0,0,7,0,0,0,48,27,1,0,0,20
Chuquisaca,Oropeza,Yotala,SAN ISIDRO DE ANFAYA,168,121,15,1,1,0,30,0,114,14,22,78,0,0,0,168,133,0,0,2,33
Chuquisaca,Oropeza,Yotala,TASAPAMPA,97,95,2,0,0,0,0,0,77,0,4,73,0,0,0,97,87,0,0,1,9
Chuquisaca,Oropeza,Yotala,TOTACOA,57,8,14,7,21,2,4,1,39,2,3,34,0,0,0,57,54,0,0,0,3
Chuquisaca,Oropeza,Yotala,VILLA EL CARMEN,66,42,1,4,11,6,2,0,53,3,6,44,0,0,0,66,64,0,0,0,2
Chuquisaca,Oropeza,Yotala,VILLA SANTA ROSA,39,0,1,0,0,0,38,0,14,0,0,14,0,0,0,39,0,0,0,0,39
Chuquisaca,Oropeza,Yotala,VILLA VICTORIA,20,1,0,0,17,2,0,0,16,0,0,11,0,5,0,20,17,0,0,0,3
Chuquisaca,Oropeza,Yotala,WASA ÑUJCHU,32,16,13,0,0,1,2,0,5,0,0,5,0,0,0,32,30,0,0,0,2
Chuquisaca,Oropeza,Yotala,YOTALA,420,279,32,23,61,22,3,0,372,314,15,33,2,8,0,420,404,0,0,0,16
Chuquisaca,Oropeza,Yotala,CHILLPA ÑUCCHU,45,39,3,0,0,0,3,0,31,24,3,4,0,0,0,45,41,0,0,1,3
